品种,混合粉FBF,超特粉SSF,国王粉KF,西皮粉WPF,FMG块,铁桥精粉IBC,纽曼粉NHGF,麦克粉MACF,金布巴粉JMBF,扬迪粉YDF,西部粉,纽曼未筛块NBLU,SP10 粉,SP10 块(未筛块),RTXL(SP10筛后块),罗布河粉,罗布河块,PB粉,PB块,罗伊山粉,MB粉,罗伊山块,罗伊山块LP折扣,MB块,MB块LP折扣
2017-01-01,0.085,0.16,0.08,0.175,,,,,,,,,,,,,,,,,,,,,
2017-02-01,0.125,0.25,0.08,0.26,,,,,,,,,,,,,,,,,,,,,
2017-03-01,0.125,0.25,0.08,0.26,,,,,,,,,,,,,,,,,,,,,
2017-04-01,0.15,0.27,0.08,0.28,,,,,,,,,,,,,,,,,,,,,
2017-05-01,0.25,0.3,0.1,0.31,,,,,,,,,,,,,,,,,,,,,
2017-06-01,0.25,0.3,0.13,0.31,,,,,,,,,,,,,,,,,,,,,
2017-07-01,0.23,0.3,0.13,0.31,,,,,,,,,,,,,,,,,,,,,
2017-08-01,0.21,0.3,0.13,0.31,,,,,,,,,,,,,,,,,,,,,
2017-09-01,0.21,0.32,0.12,0.33,,,,,,,,,,,,,,,,,,,,,
2017-10-01,0.23,0.4,0.12,0.41,,,,,,,,,,,,,,,,,,,,,
2017-11-01,0.255,0.4,0.12,0.41,,,,,,,,,,,,,,,,,,,,,
2017-12-01,0.29,0.4,0.15,0.41,,,,,,,,,,,,,,,,,,,,,
2018-01-01,0.29,0.4,0.15,0.41,,,,0.05,0.075,0.0,,,,,,,,,,,,,,,
2018-02-01,0.33,0.4,0.15,0.41,,,,0.05,0.075,0.0,,,,,,,,,,,,,,,
2018-03-01,0.35,0.4,0.15,0.41,,,,0.05,0.075,0.0,,,,,,,,,,,,,,,
2018-04-01,0.35,0.4,0.15,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-05-01,0.34,0.39,0.15,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-06-01,0.33,0.39,0.15,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-07-01,0.31,0.39,0.15,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-08-01,0.29,0.39,0.17,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-09-01,0.29,0.39,0.17,,,,,0.06,0.115,0.0,,,,,,,,,,,,,,,
2018-10-01,0.29,0.42,0.17,,,,,0.06,0.15,0.0,,,,,,,,,,,,,,,
