指标名称,纽曼粉：61.2%Fe：澳大利亚产：品牌溢价：青岛港（日）,麦克粉：60.5%Fe：澳大利亚产：品牌溢价：青岛港（日）,金布巴粉：60.3%Fe：澳大利亚产：品牌溢价：青岛港（日）,卡拉加斯粉：65%Fe：巴西产：品牌溢价：青岛港（日）,巴混（BRBF）：63%Fe：马来西亚产：品牌溢价：青岛港（日）,巴粗（IOC6）：61.5%Fe：巴西产：品牌溢价：青岛港（日）,印度球团：63%Fe：溢价指数：青岛港（基于62%指数）（日）,高硅造球精粉：65%Fe：溢价指数：青岛港（日）,纽曼块：62.2%Fe：澳大利亚产：溢价指数：青岛港（基于62%指数）（日）
2014-04-21,1.25,1.25,,,,,,,
2014-04-22,1.25,1.25,,,,,,,
2014-04-23,1.25,1.25,,,,,,,
2014-04-24,1.25,1.25,,,,,,,
2014-04-25,1.25,1.25,,,,,,,
2014-04-26,,,,,,,,,
2014-04-27,,,,,,,,,
2014-04-28,1.25,1.25,,,,,,,
2014-04-29,1.0,1.0,,,,,,,
2014-04-30,1.0,1.0,,,,,,,
2014-05-01,,,,,,,,,
2014-05-02,,,,,,,,,
2014-05-03,,,,,,,,,
2014-05-04,1.0,1.0,,,,,,,
2014-05-05,1.0,1.0,,,,,,,
2014-05-06,1.0,1.0,,,,,,,
2014-05-07,1.0,1.0,,,,,,,
2014-05-08,1.0,1.0,,,,,,,
2014-05-09,1.0,1.0,,,,,,,
2014-05-10,,,,,,,,,
2014-05-11,,,,,,,,,
2014-05-12,0.5,0.5,,,,,,,
2014-05-13,0.5,0.5,,,,,,,
2014-05-14,0.5,0.5,,,,,,,
2014-05-15,0.5,0.5,,,,,,,
2014-05-16,0.5,0.5,,,,,,,
2014-05-17,,,,,,,,,
2014-05-18,,,,,,,,,
2014-05-19,0.5,0.5,,,,,,,
2014-05-20,0.5,0.5,,,,,,,
2014-05-21,0.5,0.5,,,,,,,
2014-05-22,0.5,0.5,,,,,,,
2014-05-23,0.5,0.5,,,,,,,
2014-05-24,,,,,,,,,
2014-05-25,,,,,,,,,
2014-05-26,0.0,0.0,,,,,,,
2014-05-27,0.0,0.0,,,,,,,
2014-05-28,0.0,0.0,,,,,,,
2014-05-29,0.0,0.0,,,,,,,
2014-05-30,0.0,0.0,,,,,,,
2014-05-31,,,,,,,,,
2014-06-01,,,,,,,,,
2014-06-02,,,,,,,,,
2014-06-03,0.0,0.0,,,,,,,
2014-06-04,0.0,0.0,,,,,,,
2014-06-05,0.0,0.0,,,,,,,
2014-06-06,0.0,0.0,,,,,,,
2014-06-07,,,,,,,,,
2014-06-08,,,,,,,,,
2014-06-09,0.0,0.0,,,,,,,
2014-06-10,0.0,0.0,,,,,,,
2014-06-11,0.0,0.0,,,,,,,
2014-06-12,0.0,0.0,,,,,,,
2014-06-13,0.0,0.0,,,,,,,
2014-06-14,,,,,,,,,
2014-06-15,,,,,,,,,
2014-06-16,-0.75,-0.75,,,,,,,
2014-06-17,-0.75,-0.75,,,,,,,
2014-06-18,-0.75,-0.75,,,,,,,
2014-06-19,-0.75,-0.75,,,,,,,
2014-06-20,-0.75,-0.75,,,,,,,
2014-06-21,,,,,,,,,
2014-06-22,,,,,,,,,
2014-06-23,-0.75,-0.75,,,,,,,
2014-06-24,0.25,0.25,,,,,,,
2014-06-25,0.25,0.25,,,,,,,
2014-06-26,0.25,0.25,,,,,,,
2014-06-27,0.25,0.25,,,,,,,
2014-06-28,,,,,,,,,
2014-06-29,,,,,,,,,
2014-06-30,0.25,0.25,,,,,,,
2014-07-01,0.25,0.25,,,,,,,
2014-07-02,0.25,0.25,,,,,,,
2014-07-03,0.25,0.25,,,,,,,
2014-07-04,0.25,0.25,,,,,,,
2014-07-05,,,,,,,,,
2014-07-06,,,,,,,,,
2014-07-07,0.5,0.5,,,,,,,
2014-07-08,0.5,0.5,,,,,,,
2014-07-09,0.5,0.5,,,,,,,
2014-07-10,0.5,0.5,,,,,,,
2014-07-11,0.5,0.5,,,,,,,
2014-07-12,,,,,,,,,
2014-07-13,,,,,,,,,
2014-07-14,0.5,0.5,,,,,,,
2014-07-15,0.5,0.5,,,,,,,
2014-07-16,0.5,0.5,,,,,,,
2014-07-17,0.5,0.5,,,,,,,
2014-07-18,0.5,0.5,,,,,,,
2014-07-19,,,,,,,,,
2014-07-20,,,,,,,,,
2014-07-21,0.25,0.25,,,,,,,
2014-07-22,0.25,0.25,,,,,,,
2014-07-23,0.25,0.25,,,,,,,
2014-07-24,0.25,0.25,,,,,,,
