指标名称,巴西粉矿：65%Fe：远期现货价格指数：青岛港（日）,低铝粉矿：62%Fe：远期现货价格指数：青岛港（日）,澳洲粉矿：62%Fe：远期现货价格指数：青岛港（日）,MNPJ：61%Fe：现货价格指数：青岛港（美元）（日）,Mysteel 61,COREX 61
2010-01-04,,,130.0,,130.0,
2010-01-05,,,130.0,,130.0,
2010-01-06,,,130.0,,130.0,
2010-01-07,,,132.0,,132.0,
2010-01-08,,,132.0,,132.0,
2010-01-09,,,,,,
2010-01-10,,,,,,
2010-01-11,,,132.0,,132.0,
2010-01-12,,,133.0,,133.0,
2010-01-13,,,133.0,,133.0,
2010-01-14,,,133.0,,133.0,
2010-01-15,,,133.0,,133.0,
2010-01-16,,,,,,
2010-01-17,,,,,,
2010-01-18,,,137.0,,137.0,
2010-01-19,,,137.0,,137.0,
2010-01-20,,,137.0,,137.0,
2010-01-21,,,137.0,,137.0,
2010-01-22,,,133.0,,133.0,
2010-01-23,,,,,,
2010-01-24,,,,,,
2010-01-25,,,133.0,,133.0,
2010-01-26,,,133.0,,133.0,
2010-01-27,,,133.0,,133.0,
2010-01-28,,,133.0,,133.0,
2010-01-29,,,133.0,,133.0,
2010-01-30,,,,,,
2010-01-31,,,,,,
2010-02-01,,,133.0,,133.0,
2010-02-02,,,133.0,,133.0,
2010-02-03,,,133.0,,133.0,
2010-02-04,,,133.0,,133.0,
2010-02-05,,,133.0,,133.0,
2010-02-06,,,,,,
2010-02-07,,,,,,
2010-02-08,,,133.0,,133.0,
2010-02-09,,,134.0,,134.0,
2010-02-10,,,134.0,,134.0,
2010-02-11,,,134.0,,134.0,
2010-02-12,,,134.0,,134.0,
2010-02-13,,,,,,
2010-02-14,,,,,,
2010-02-15,,,,,,
2010-02-16,,,,,,
2010-02-17,,,,,,
2010-02-18,,,,,,
2010-02-19,,,,,,
2010-02-20,,,134.0,,134.0,
2010-02-21,,,135.0,,135.0,
2010-02-22,,,135.0,,135.0,
2010-02-23,,,135.0,,135.0,
2010-02-24,,,137.0,,137.0,
2010-02-25,,,137.0,,137.0,
2010-02-26,,,137.0,,137.0,
2010-02-27,,,,,,
2010-02-28,,,,,,
2010-03-01,,,137.0,,137.0,
2010-03-02,,,137.0,,137.0,
2010-03-03,,,137.0,,137.0,
2010-03-04,,,140.0,,140.0,
2010-03-05,,,140.0,,140.0,
2010-03-06,,,,,,
2010-03-07,,,,,,
2010-03-08,,,140.0,,140.0,
2010-03-09,,,140.0,,140.0,
2010-03-10,,,140.0,,140.0,
2010-03-11,,,142.0,,142.0,
2010-03-12,,,142.0,,142.0,
2010-03-13,,,,,,
2010-03-14,,,,,,
2010-03-15,,,143.0,,143.0,
2010-03-16,,,143.0,,143.0,
2010-03-17,,,145.0,,145.0,
2010-03-18,,,147.0,,147.0,
2010-03-19,,,147.0,,147.0,
2010-03-20,,,,,,
2010-03-21,,,,,,
2010-03-22,,,151.0,,151.0,
2010-03-23,,,154.0,,154.0,
2010-03-24,,,154.0,,154.0,
2010-03-25,,,154.0,,154.0,
2010-03-26,,,154.0,,154.0,
2010-03-27,,,,,,
2010-03-28,,,,,,
2010-03-29,,,154.0,,154.0,
2010-03-30,,,155.0,,155.0,
2010-03-31,,,155.0,,155.0,
2010-04-01,,,155.0,,155.0,
2010-04-02,,,155.0,,155.0,
2010-04-03,,,,,,
2010-04-04,,,,,,
2010-04-05,,,,,,
2010-04-06,,,163.0,,163.0,
2010-04-07,,,164.0,,164.0,
2010-04-08,,,164.0,,164.0,
2010-04-09,,,164.0,,164.0,
2010-04-10,,,,,,
2010-04-11,,,,,,
2010-04-12,,,171.0,,171.0,
2010-04-13,,,171.0,,171.0,
2010-04-14,,,174.0,,174.0,
2010-04-15,,,174.0,,174.0,
2010-04-16,,,174.0,,174.0,
2010-04-17,,,,,,
2010-04-18,,,,,,
2010-04-19,,,174.0,,174.0,
2010-04-20,,,174.0,,174.0,
2010-04-21,,,174.0,,174.0,
2010-04-22,,,188.0,,188.0,
2010-04-23,,,188.0,,188.0,
2010-04-24,,,,,,
2010-04-25,,,,,,
2010-04-26,,,188.0,,188.0,
2010-04-27,,,191.0,,191.0,
2010-04-28,,,191.0,,191.0,
2010-04-29,,,194.0,,194.0,
2010-04-30,,,194.0,,194.0,
2010-05-01,,,,,,
2010-05-02,,,,,,
2010-05-03,,,,,,
2010-05-04,,,184.0,,184.0,
2010-05-05,,,184.0,,184.0,
2010-05-06,,,184.0,,184.0,
2010-05-07,,,184.0,,184.0,
2010-05-08,,,,,,
2010-05-09,,,,,,
2010-05-10,,,182.0,,182.0,
2010-05-11,,,182.0,,182.0,
2010-05-12,,,181.0,,181.0,
2010-05-13,,,179.0,,179.0,
2010-05-14,,,176.0,,176.0,
2010-05-15,,,,,,
2010-05-16,,,,,,
2010-05-17,,,173.0,,173.0,
2010-05-18,,,168.0,,168.0,
2010-05-19,,,166.0,,166.0,
2010-05-20,,,160.0,,160.0,
2010-05-21,,,156.0,,156.0,
2010-05-22,,,,,,
2010-05-23,,,,,,
