指标名称,MB价格指数:巴西65%粉矿,MB价格指数:62%粉矿低铝,MB价格指数:62%粉矿,MB价格指数:58%粉矿,价格指数:铁矿石:61%Fe,价格指数:铁矿石:65%Fe:CFR,价格指数:铁矿石:58%Fe:CFR,价格指数:铁矿石:1%价差:60%-63.5%:FE,价格指数:铁矿石:1%价差:1-2.5%:Al2O3,价格指数:铁矿石:1%价差:4.5-6.5%:SiO2,价格指数:铁矿石:1%价差:6.5-9%:SiO2,价格指数:铁矿石:1%价差:0.09-0.12%:P,ARGUS 61,PLATTS LP
2010-04-14,,,,,,,177.0,,,,,,,
2010-04-15,,,,,,,179.0,,,,,,,
2010-04-16,,,,,,,182.0,,,,,,,
2010-04-17,,,,,,,,,,,,,,
2010-04-18,,,,,,,,,,,,,,
2010-04-19,,,,,,,182.0,,,,,,,
2010-04-20,,,,,,,186.0,,,,,,,
2010-04-21,,,,,,,185.0,,,,,,,
2010-04-22,,,,,,,185.0,,,,,,,
2010-04-23,,,,,,,182.5,,,,,,,
2010-04-24,,,,,,,,,,,,,,
2010-04-25,,,,,,,,,,,,,,
2010-04-26,,,,,,,182.0,,,,,,,
2010-04-27,,,,,,,181.5,,,,,,,
2010-04-28,,,,,,,181.0,,,,,,,
2010-04-29,,,,,,,178.0,,,,,,,
2010-04-30,,,,,,,176.0,,,,,,,
2010-05-01,,,,,,,,,,,,,,
2010-05-02,,,,,,,,,,,,,,
2010-05-03,,,,,,,176.0,,,,,,,
2010-05-04,,,,,,,176.0,,,,,,,
2010-05-05,,,,,,,177.0,,,,,,,
2010-05-06,,,,,,,177.5,,,,,,,
2010-05-07,,,,,,,177.5,,,,,,,
2010-05-08,,,,,,,,,,,,,,
2010-05-09,,,,,,,,,,,,,,
2010-05-10,,,,,,,175.5,,,,,,,
2010-05-11,,,,,,,171.0,,,,,,,
2010-05-12,,,,,,,170.0,,,,,,,
2010-05-13,,,,,,,167.0,,,,,,,
2010-05-14,,,,,,,166.5,,,,,,,
2010-05-15,,,,,,,,,,,,,,
2010-05-16,,,,,,,,,,,,,,
2010-05-17,,,,,,,162.5,,,,,,,
2010-05-18,,,,,,,158.0,,,,,,,
2010-05-19,,,,,,,156.5,,,,,,,
2010-05-20,,,,,,,152.5,,,,,,,
2010-05-21,,,,,,,148.0,,,,,,,
2010-05-22,,,,,,,,,,,,,,
2010-05-23,,,,,,,,,,,,,,
2010-05-24,,,,,,,147.5,,,,,,,
2010-05-25,,,,,,,145.5,,,,,,,
2010-05-26,,,,,,,144.5,,,,,,,
2010-05-27,,,,,,,145.0,,,,,,,
2010-05-28,,,,,,,,,,,,,,
2010-05-29,,,,,,,,,,,,,,
2010-05-30,,,,,,,,,,,,,,
2010-05-31,,,,,,,,,,,,,,
2010-06-01,,,,,,,144.0,,,,,,,
2010-06-02,,,,,,,146.0,,,,,,,
2010-06-03,,,,,,,146.0,,,,,,,
2010-06-04,,,,,,,146.5,,,,,,,
2010-06-05,,,,,,,,,,,,,,
2010-06-06,,,,,,,,,,,,,,
2010-06-07,,,,,,,146.0,,,,,,,
2010-06-08,,,,,,,145.0,,,,,,,
2010-06-09,,,,,,,144.0,,,,,,,
2010-06-10,,,,,,,143.5,,,,,,,
2010-06-11,,,,,,,143.5,,,,,,,
2010-06-12,,,,,,,,,,,,,,
2010-06-13,,,,,,,,,,,,,,
2010-06-14,,,,,,,143.5,,,,,,,
2010-06-15,,,,,,,143.0,,,,,,,
2010-06-16,,,,,,,143.0,,,,,,,
2010-06-17,,,,,,,145.5,,,,,,,
2010-06-18,,,,,,,145.5,,,,,,,
2010-06-19,,,,,,,,,,,,,,
2010-06-20,,,,,,,,,,,,,,
2010-06-21,,,,,,,145.5,,,,,,,
2010-06-22,,,,,,,144.5,,,,,,,
2010-06-23,,,,,,,142.5,,,,,,,
2010-06-24,,,,,,,140.0,,,,,,,
2010-06-25,,,,,,,135.5,,,,,,,
2010-06-26,,,,,,,,,,,,,,
2010-06-27,,,,,,,,,,,,,,
2010-06-28,,,,,,,135.5,,,,,,,
2010-06-29,,,,,,,135.0,,,,,,,
2010-06-30,,,,,,,134.0,,,,,,,
2010-07-01,,,,,,,132.5,,,,,,,
2010-07-02,,,,,,,130.5,,,,,,,
2010-07-03,,,,,,,,,,,,,,
2010-07-04,,,,,,,,,,,,,,
2010-07-05,,,,,,,129.0,,,,,,,
2010-07-06,,,,,,,127.0,,,,,,,
2010-07-07,,,,,,,124.0,,,,,,,
2010-07-08,,,,,,,122.0,,,,,,,
2010-07-09,,,,,,,119.0,,,,,,,
2010-07-10,,,,,,,,,,,,,,
2010-07-11,,,,,,,,,,,,,,
2010-07-12,,,,,,,118.5,,,,,,,
2010-07-13,,,,,,,118.5,,,,,,,
2010-07-14,,,,,,,116.0,,,,,,,
2010-07-15,,,,,,,116.0,,,,,,,
2010-07-16,,,,,,,116.0,,,,,,,
2010-07-17,,,,,,,,,,,,,,
2010-07-18,,,,,,,,,,,,,,
2010-07-19,,,,,,,116.0,,,,,,,
2010-07-20,,,,,,,119.0,,,,,,,
2010-07-21,,,,,,,123.0,,,,,,,
