指标名称,印度粉矿：57%Fe：品牌价格：青岛港（美元）（日）,FMG混合粉：58.2%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,PB块：61.6%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,巴混（BRBF）：63%Fe：马来西亚产：品牌价格：青岛港（美元）（日）,超特粉：56.5%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,金布巴粉：60.3%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,卡拉加斯粉：65%Fe：巴西产：品牌价格：青岛港（美元）（日）,罗伊山粉：60.7%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,罗伊山块：61.5%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,麦克粉：60.5%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,纽曼粉：61.2%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,纽曼块：62%Fe：澳大利亚产：品牌价格：青岛港（美元）（日）,毛里塔尼亚粉：62%Fe：品牌价格：青岛港（美元）（日）,南非粗粉：63.5%Fe：品牌价格：青岛港（美元）（日）,南非精粉：63.5%Fe：非洲南部产：品牌价格：青岛港（美元）（日）,南非块：64%Fe：品牌价格：青岛港（美元）（日）,乌克兰/俄罗斯球团：63%Fe：乌克兰/俄罗斯产：品牌价格：青岛港（美元）（日）,乌克兰/俄罗斯球团：65%Fe：乌克兰/俄罗斯产：品牌价格：青岛港（美元）（日）,智利精粉：66%Fe：品牌价格：青岛港（美元）（日）
2011-01-24,,,,,,,,,,,192.0,,,,,,,,
2011-01-25,,,,,,,,,,,193.0,,,,,,,,
2011-01-26,,,,,,,,,,,193.0,,,,,,,,
2011-01-27,,,,,,,,,,,192.0,,,,,,,,
2011-01-28,,,,,,,,,,,192.0,,,,,,,,
2011-01-29,,,,,,,,,,,,,,,,,,,
2011-01-30,,,,,,,,,,,192.0,,,,,,,,
2011-01-31,,,,,,,,,,,192.0,,,,,,,,
2011-02-01,,,,,,,,,,,192.0,,,,,,,,
2011-02-02,,,,,,,,,,,,,,,,,,,
2011-02-03,,,,,,,,,,,,,,,,,,,
2011-02-04,,,,,,,,,,,,,,,,,,,
2011-02-05,,,,,,,,,,,,,,,,,,,
2011-02-06,,,,,,,,,,,,,,,,,,,
2011-02-07,,,,,,,,,,,,,,,,,,,
2011-02-08,,,,,,,,,,,,,,,,,,,
2011-02-09,,,,,,,,,,,192.0,,,,,,,,
2011-02-10,,,,,,,,,,,193.0,,,,,,,,
2011-02-11,,,,,,,,,,,193.0,,,,,,,,
2011-02-12,,,,,,,,,,,195.0,,,,,,,,
2011-02-13,,,,,,,,,,,,,,,,,,,
2011-02-14,,,,,,,,,,,196.0,,,,,,,,
2011-02-15,,,,,,,,,,,196.0,,,,,,,,
2011-02-16,,,,,,,,,,,196.0,,,,,,,,
2011-02-17,,,,,,,,,,,196.0,,,,,,,,
2011-02-18,,,,,,,,,,,196.0,,,,,,,,
2011-02-19,,,,,,,,,,,,,,,,,,,
2011-02-20,,,,,,,,,,,,,,,,,,,
2011-02-21,,,,,,,,,,,196.0,,,,,,,,
2011-02-22,,,,,,,,,,,195.0,,,,,,,,
2011-02-23,,,,,,,,,,,194.0,,,,,,,,
2011-02-24,,,,,,,,,,,192.0,,,,,,,,
2011-02-25,,,,,,,,,,,192.0,,,,,,,,
2011-02-26,,,,,,,,,,,,,,,,,,,
2011-02-27,,,,,,,,,,,,,,,,,,,
2011-02-28,,,,,,,,,,,191.0,,,,,,,,
2011-03-01,,,,,,,,,,,190.0,,,,,,,,
2011-03-02,,,,,,,,,,,189.0,,,,,,,,
2011-03-03,,,,,,,,,,,187.0,,,,,,,,
2011-03-04,,,,,,,,,,,186.0,,,,,,,,
2011-03-05,,,,,,,,,,,,,,,,,,,
2011-03-06,,,,,,,,,,,,,,,,,,,
2011-03-07,,,,,,,,,,,184.0,,,,,,,,
2011-03-08,,,,,,,,,,,183.0,,,,,,,,
2011-03-09,,,,,,,,,,,182.0,,,,,,,,
2011-03-10,,,,,,,,,,,180.0,,,,,,,,
2011-03-11,,,,,,,,,,,179.0,,,,,,,,
2011-03-12,,,,,,,,,,,,,,,,,,,
2011-03-13,,,,,,,,,,,,,,,,,,,
2011-03-14,,,,,,,,,,,178.0,,,,,,,,
2011-03-15,,,,,,,,,,,177.0,,,,,,,,
2011-03-16,,,,,,,,,,,175.0,,,,,,,,
2011-03-17,,,,,,,,,,,173.0,,,,,,,,
2011-03-18,,,,,,,,,,,173.0,,,,,,,,
2011-03-19,,,,,,,,,,,,,,,,,,,
2011-03-20,,,,,,,,,,,,,,,,,,,
2011-03-21,,,,,,,,,,,173.0,,,,,,,,
2011-03-22,,,,,,,,,,,173.0,,,,,,,,
2011-03-23,,,,,,,,,,,173.0,,,,,,,,
2011-03-24,,,,,,,,,,,173.0,,,,,,,,
2011-03-25,,,,,,,,,,,173.0,,,,,,,,
2011-03-26,,,,,,,,,,,,,,,,,,,
2011-03-27,,,,,,,,,,,,,,,,,,,
2011-03-28,,,,,,,,,,,174.0,,,,,,,,
2011-03-29,,,,,,,,,,,175.0,,,,,,,,
2011-03-30,,,,,,,,,,,176.0,,,,,,,,
2011-03-31,,,,,,,,,,,177.0,,,,,,,,
2011-04-01,,,,,,,,,,,178.0,,,,,,,,
2011-04-02,,,,,,,,,,,178.0,,,,,,,,
2011-04-03,,,,,,,,,,,,,,,,,,,
2011-04-04,,,,,,,,,,,,,,,,,,,
2011-04-05,,,,,,,,,,,,,,,,,,,
2011-04-06,,,,,,,,,,,181.0,,,,,,,,
2011-04-07,,,,,,,,,,,183.0,,,,,,,,
2011-04-08,,,,,,,,,,,185.0,,,,,,,,
2011-04-09,,,,,,,,,,,,,,,,,,,
2011-04-10,,,,,,,,,,,,,,,,,,,
2011-04-11,,,,,,,,,,,187.0,,,,,,,,
2011-04-12,,,,,,,,,,,188.0,,,,,,,,
2011-04-13,,,,,,,,,,,188.0,,,,,,,,
2011-04-14,,,,,,,,,,,188.0,,,,,,,,
2011-04-15,,,,,,,,,,,186.5,,,,,,,,
2011-04-16,,,,,,,,,,,,,,,,,,,
2011-04-17,,,,,,,,,,,,,,,,,,,
2011-04-18,,,,,,,,,,,185.5,,,,,,,,
2011-04-19,,,,,,,,,,,184.5,,,,,,,,
2011-04-20,,,,,,,,,,,184.5,,,,,,,,
2011-04-21,,,,,,,,,,,184.5,,,,,,,,
2011-04-22,,,,,,,,,,,184.5,,,,,,,,
2011-04-23,,,,,,,,,,,,,,,,,,,
2011-04-24,,,,,,,,,,,,,,,,,,,
2011-04-25,,,,,,,,,,,184.5,,,,,,,,
