指标名称,SGX：铁矿：TSI指数：主力合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：掉期近月合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：01合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：02合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：03合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：04合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：05合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：06合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：07合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：08合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：09合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：10合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：11合约：结算价（T+1时段）（日）,SGX：铁矿：TSI指数：12合约：结算价（T+1时段）（日）
2009-04-30,,61.63,,,,,61.63,62.28,63.44,63.75,63.69,64.31,,
2009-05-01,61.63,61.63,,,,,61.63,62.0,62.33,63.83,64.08,64.58,,
2009-05-02,,,,,,,,,,,,,,
2009-05-03,,,,,,,,,,,,,,
2009-05-04,61.63,61.63,,,,,61.63,62.0,62.33,63.83,64.08,64.58,,
2009-05-05,62.0,62.0,,,,,62.0,62.58,63.08,64.25,64.83,65.0,,
2009-05-06,62.33,62.33,,,,,62.33,63.17,63.92,64.58,65.08,65.33,,
2009-05-07,62.56,62.56,,,,,62.56,63.25,64.19,64.81,65.19,65.94,,
2009-05-08,63.5,63.5,,,,,63.5,64.37,64.56,64.75,65.13,65.75,,
2009-05-09,,,,,,,,,,,,,,
2009-05-10,,,,,,,,,,,,,,
2009-05-11,63.13,63.13,,,,,63.13,64.13,64.69,65.25,65.56,66.19,,
2009-05-12,62.44,62.44,,,,,62.44,64.19,65.25,66.06,66.62,67.19,,
2009-05-13,62.44,62.44,,,,,62.44,64.94,65.56,66.94,67.5,68.12,,
2009-05-14,62.5,62.5,69.83,69.92,70.08,70.25,62.5,65.75,66.71,68.92,69.33,70.33,70.83,71.08
2009-05-15,62.19,62.19,70.37,70.5,70.69,70.81,62.19,65.44,66.13,68.81,69.25,70.19,70.69,71.0
2009-05-16,,,,,,,,,,,,,,
2009-05-17,,,,,,,,,,,,,,
2009-05-18,66.17,63.25,70.17,70.33,70.5,70.58,63.25,66.17,66.75,69.25,69.67,70.83,71.33,71.5
2009-05-19,65.83,63.25,70.08,70.17,70.33,70.5,63.25,65.83,66.75,69.42,69.83,70.67,70.75,70.92
2009-05-20,65.19,63.13,69.31,69.63,69.94,70.19,63.13,65.19,66.06,68.06,68.38,68.88,69.0,69.0
