品种,典型值铁,典型值水,典型值硅,典型值铝,典型值P,典型值S
PB粉,60.8,8.8,4.3,2.5,0.11,0.02
纽曼粉,61.2,8.3,4.75,2.55,0.095,0.02
麦克粉,60.5,8.5,4.3,2.5,0.08,0.03
金布巴粉,60.3,7.6,4.7,3.3,0.115,0.02
金宝粉,,,,,,
杨迪粉,56.8,10.5,5.75,1.8,0.05,0.01
罗伊山粉,60.7,9.0,4.5,2.3,0.05,0.03
MB粉,58.0,9.0,6.5,2.9,0.05,0.04
特卡粉,1.0,,,,,
巴混BRBF,63.0,7.5,5.0,1.5,0.085,
高硅巴粗,59.5,9.5,10.5,1.1,0.06,
SP10粉,56.5,7.5,7.2,4.1,0.11,0.03
混合粉,58.2,8.0,5.8,2.6,0.08,0.035
超特粉,56.5,9.5,6.4,3.2,0.06,0.035
PMI粉,56.5,10.0,,,,
毛塔粉,56.5,7.5,,,,
库兰粉,,,,,,
kumba南非粉,,,,,,
Assmang南非粉,,,,,,
IOC6粉,61.5,9.0,,,,
Musa粉,62.0,9.0,6.4,0.8,0.04,
SIOF托克粉,60.98,9.5,8.0,1.2,0.055,
低品卡拉拉精粉,,,,,,
永钢粉,65.0,1.0,7.0,1.0,0.05,0.05
西皮粉,60.3,6.0,4.4,2.35,0.12,0.025
国王粉,57.5,9.0,5.5,1.9,0.07,0.035
卡拉拉精粉低品,62.0,8.0,11.5,1.0,0.1,0.1
印粉57,57.0,8.0,6.0,7.0,0.07,0.02
印粉54,54.5,9.0,6.5,7.3,0.07,0.015
丝路粉,58.2,8.0,5.1,3.3,0.07,0.02
韩国粉,,,,,,
terra mining,,,,,,
安米利比里亚粉,60.5,10.5,7.5,2.0,0.1,0.02
卡粉,65.0,8.5,2.7,1.4,0.09,
乌精68,68.0,9.0,,,,
乌精65,65.0,9.0,,,,
飞砳乌精67,67.0,9.8,5.6,0.4,0.008,0.08
卡拉拉精粉,,,,,,
中信泰富精粉,,,,,,
一钢精粉,65.5,8.5,4.5,0.35,0.03,0.06
samacro精粉,,,,,,
VALE PFPA,66.59,9.5,2.85,0.62,0.027, 
VALE PFG2,64.97,10.1,4.45,0.74,0.038,
VALE PFIT,63.0,8.5,7.2,0.4,0.035,
智利Romeral,,,,,,
智利CNN,,,,,,
智利Huasco,68.8,2.25,0.75,0.03,0.03,
毛塔精粉,66.0,1.5,7.0,0.4,0.01,0.03
Minas精粉,67.4,9.21,1.4,0.49,0.022,
魏桥西芒杜,65.02,8.0,1.1,2.48,0.079,0.025
首钢秘鲁精粉,,,,,,
委粉,65.11,7.65,1.29,0.78,0.085,0.15
PB块,61.6,4.0,3.5,1.8,0.1,0.02
纽曼块,62.0,4.1,3.6,1.65,0.08,0.02
SP10块,58.7,4.2,5.4,2.9,0.1,0.03
RTX块,,,,,,
纽曼未筛分块,61.7,4.3,4.5,1.95,0.11,0.04
南非Kumba块,,,,,,
罗伊山块,60.5,4.8,4.95,1.9,0.05,0.03
MB块,58.0,4.8,7.5,2.4,0.05,0.04
FMG块,57.2,6.5,6.1,2.6,0.05,0.037
LONS块,,,,,,
