指标名称,PB粉：61.5%Fe：品牌价格：日照港：力拓（日）,纽曼粉：61.2%Fe：品牌价格：日照港：BHP（日）,麦克粉：60.5%Fe：品牌价格：日照港：BHP（日）,金布巴粉：60.3%Fe：品牌价格：日照港：BHP（日）,FMG混合粉：58.2%Fe：品牌价格：日照港：FMG（日）,超特粉：56.5%Fe：品牌价格：日照港：FMG（日）,SP10粉：58.5%Fe：澳大利亚产：品牌价格：日照港（日）,罗伊山粉：60.7%Fe：品牌价格：日照港：罗伊山（日）,卡拉加斯粉：65%Fe：品牌价格：日照港：淡水河谷（日）,巴混（BRBF）：63%Fe：品牌价格：日照港：淡水河谷（日）,PB块：62.5%Fe：品牌价格：日照港：力拓（日）,纽曼块：62%Fe：品牌价格：日照港：BHP（日）,罗伊山块：60.5%Fe：品牌价格：日照港：罗伊山（日）,印度球团：63%Fe：品牌价格：日照港（日）,乌克兰精粉：65%Fe：乌克兰产：品牌价格：日照港（日）,印度粉矿：57%Fe：品牌价格：日照港（日）,巴粗（IOC6）：61.5%Fe：品牌价格：日照港：CSN（日）,卡拉拉精粉：65%Fe：澳大利亚产：品牌价格：日照港（日）,金布巴粉：59.7%Fe：品牌价格：日照港：BHP（日）,PB粉：60.8%Fe：品牌价格：日照港：力拓（日）,PB块：61.6%Fe：品牌价格：日照港：力拓（日）
2009-01-08,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-09,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-10,,,,,,,,,,,,,,,,,,,,,
2009-01-11,,,,,,,,,,,,,,,,,,,,,
2009-01-12,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-13,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-14,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-15,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-16,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-17,,,,,,,,,,,,,,,,,,,,,
2009-01-18,,,,,,,,,,,,,,,,,,,,,
2009-01-19,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-20,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-21,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-22,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-23,625.0,,,,,,,,,,,,,,,,,,,,
2009-01-24,,,,,,,,,,,,,,,,,,,,,
2009-01-25,,,,,,,,,,,,,,,,,,,,,
2009-01-26,,,,,,,,,,,,,,,,,,,,,
2009-01-27,,,,,,,,,,,,,,,,,,,,,
2009-01-28,,,,,,,,,,,,,,,,,,,,,
2009-01-29,,,,,,,,,,,,,,,,,,,,,
2009-01-30,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,
2009-02-01,625.0,,,,,,,,,,,,,,,,,,,,
2009-02-02,625.0,,,,,,,,,,,,,,,,,,,,
2009-02-03,625.0,,,,,,,,,,,,,,,,,,,,
2009-02-04,625.0,,,,,,,,,,,,,,,,,,,,
2009-02-05,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-06,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-07,,,,,,,,,,,,,,,,,,,,,
2009-02-08,,,,,,,,,,,,,,,,,,,,,
2009-02-09,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-10,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-11,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-12,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-13,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-14,,,,,,,,,,,,,,,,,,,,,
2009-02-15,,,,,,,,,,,,,,,,,,,,,
2009-02-16,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-17,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-18,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-19,645.0,,,,,,,,,,,,,,,,,,,,
2009-02-20,635.0,,,,,,,,,,,,,,,,,,,,
2009-02-21,,,,,,,,,,,,,,,,,,,,,
2009-02-22,,,,,,,,,,,,,,,,,,,,,
2009-02-23,635.0,,,,,,,,,,,,,,,,,,,,
2009-02-24,635.0,,,,,,,,,,,,,,,,,,,,
2009-02-25,630.0,,,,,,,,,,,,,,,,,,,,
2009-02-26,610.0,,,,,,,,,,,,,,,,,,,,
2009-02-27,610.0,,,,,,,,,,,,,,,,,,,,
