指标名称,PB粉：61.5%Fe：品牌价格：天津港：力拓（日）,纽曼粉：61.2%Fe：品牌价格：天津港：BHP（日）,麦克粉：60.5%Fe：品牌价格：天津港：BHP（日）,金布巴粉：60.3%Fe：品牌价格：天津港：BHP（日）,FMG混合粉：58.2%Fe：品牌价格：天津港：FMG（日）,超特粉：56.5%Fe：品牌价格：天津港：FMG（日）,SP10粉：58.5%Fe：澳大利亚产：品牌价格：天津港（日）,罗伊山粉：60.7%Fe：品牌价格：天津港：罗伊山（日）,卡拉加斯粉：65%Fe：品牌价格：天津港：淡水河谷（日）,巴混（BRBF）：63%Fe：品牌价格：天津港：淡水河谷（日）,PB块：62.5%Fe：品牌价格：天津港：力拓（日）,纽曼块：62%Fe：品牌价格：天津港：BHP（日）,罗伊山块：60.5%Fe：品牌价格：天津港：罗伊山（日）,乌克兰精粉：65%Fe：品牌价格：天津港（日）,印度粉矿：57%Fe：品牌价格：天津港（日）,巴粗（IOC6）：61.5%Fe：品牌价格：天津港（日）,PB粉：60.8%Fe：品牌价格：天津港：力拓（日）,PB块：61.6%Fe：品牌价格：天津港：力拓（日）
2007-09-25,,,,,,,,,,,,,,,900.0,,,
2007-09-26,,,,,,,,,,,,,,,900.0,,,
2007-09-27,,,,,,,,,,,,,,,900.0,,,
2007-09-28,,,,,,,,,,,,,,,900.0,,,
2007-09-29,,,,,,,,,,,,,,,900.0,,,
2007-09-30,,,,,,,,,,,,,,,900.0,,,
2007-10-01,,,,,,,,,,,,,,,,,,
2007-10-02,,,,,,,,,,,,,,,,,,
2007-10-03,,,,,,,,,,,,,,,,,,
2007-10-04,,,,,,,,,,,,,,,,,,
2007-10-05,,,,,,,,,,,,,,,,,,
2007-10-06,,,,,,,,,,,,,,,,,,
2007-10-07,,,,,,,,,,,,,,,,,,
2007-10-08,,,,,,,,,,,,,,,900.0,,,
2007-10-09,,,,,,,,,,,,,,,900.0,,,
2007-10-10,,,,,,,,,,,,,,,900.0,,,
2007-10-11,,,,,,,,,,,,,,,900.0,,,
2007-10-12,,,,,,,,,,,,,,,900.0,,,
2007-10-13,,,,,,,,,,,,,,,,,,
2007-10-14,,,,,,,,,,,,,,,,,,
2007-10-15,,,,,,,,,,,,,,,900.0,,,
2007-10-16,,,,,,,,,,,,,,,900.0,,,
2007-10-17,,,,,,,,,,,,,,,910.0,,,
2007-10-18,,,,,,,,,,,,,,,910.0,,,
2007-10-19,,,,,,,,,,,,,,,920.0,,,
2007-10-20,,,,,,,,,,,,,,,,,,
2007-10-21,,,,,,,,,,,,,,,,,,
2007-10-22,,,,,,,,,,,,,,,950.0,,,
2007-10-23,,,,,,,,,,,,,,,1000.0,,,
2007-10-24,,,,,,,,,,,,,,,1000.0,,,
2007-10-25,,,,,,,,,,,,,,,1000.0,,,
2007-10-26,,,,,,,,,,,,,,,1000.0,,,
2007-10-27,,,,,,,,,,,,,,,,,,
2007-10-28,,,,,,,,,,,,,,,,,,
2007-10-29,,,,,,,,,,,,,,,1000.0,,,
2007-10-30,,,,,,,,,,,,,,,1000.0,,,
2007-10-31,,,,,,,,,,,,,,,1000.0,,,
2007-11-01,,,,,,,,,,,,,,,1000.0,,,
2007-11-02,,,,,,,,,,,,,,,1000.0,,,
2007-11-03,,,,,,,,,,,,,,,,,,
2007-11-04,,,,,,,,,,,,,,,,,,
2007-11-05,,,,,,,,,,,,,,,1050.0,,,
2007-11-06,,,,,,,,,,,,,,,1050.0,,,
2007-11-07,,,,,,,,,,,,,,,1050.0,,,
2007-11-08,,,,,,,,,,,,,,,1050.0,,,
2007-11-09,,,,,,,,,,,,,,,1050.0,,,
2007-11-10,,,,,,,,,,,,,,,,,,
2007-11-11,,,,,,,,,,,,,,,,,,
2007-11-12,,,,,,,,,,,,,,,1000.0,,,
2007-11-13,,,,,,,,,,,,,,,1000.0,,,
2007-11-14,,,,,,,,,,,,,,,1000.0,,,
2007-11-15,,,,,,,,,,,,,,,1000.0,,,
2007-11-16,,,,,,,,,,,,,,,1000.0,,,
2007-11-17,,,,,,,,,,,,,,,,,,
2007-11-18,,,,,,,,,,,,,,,,,,
2007-11-19,,,,,,,,,,,,,,,990.0,,,
2007-11-20,,,,,,,,,,,,,,,980.0,,,
2007-11-21,,,,,,,,,,,,,,,980.0,,,
2007-11-22,,,,,,,,,,,,,,,980.0,,,
2007-11-23,,,,,,,,,,,,,,,980.0,,,
2007-11-24,,,,,,,,,,,,,,,,,,
2007-11-25,,,,,,,,,,,,,,,,,,
2007-11-26,,,,,,,,,,,,,,,990.0,,,
2007-11-27,,,,,,,,,,,,,,,990.0,,,
2007-11-28,,,,,,,,,,,,,,,990.0,,,
2007-11-29,,,,,,,,,,,,,,,990.0,,,
2007-11-30,,,,,,,,,,,,,,,990.0,,,
2007-12-01,,,,,,,,,,,,,,,,,,
2007-12-02,,,,,,,,,,,,,,,,,,
2007-12-03,,,,,,,,,,,,,,,1050.0,,,
2007-12-04,,,,,,,,,,,,,,,1050.0,,,
2007-12-05,,,,,,,,,,,,,,,1050.0,,,
2007-12-06,,,,,,,,,,,,,,,1050.0,,,
2007-12-07,,,,,,,,,,,,,,,1050.0,,,
2007-12-08,,,,,,,,,,,,,,,,,,
2007-12-09,,,,,,,,,,,,,,,,,,
2007-12-10,,,,,,,,,,,,,,,1050.0,,,
2007-12-11,,,,,,,,,,,,,,,1050.0,,,
2007-12-12,,,,,,,,,,,,,,,1050.0,,,
2007-12-13,,,,,,,,,,,,,,,1060.0,,,
2007-12-14,,,,,,,,,,,,,,,1100.0,,,
2007-12-15,,,,,,,,,,,,,,,,,,
2007-12-16,,,,,,,,,,,,,,,,,,
2007-12-17,,,,,,,,,,,,,,,1100.0,,,
2007-12-18,,,,,,,,,,,,,,,1100.0,,,
2007-12-19,,,,,,,,,,,,,,,1100.0,,,
2007-12-20,,,,,,,,,,,,,,,1100.0,,,
2007-12-21,,,,,,,,,,,,,,,1080.0,,,
2007-12-22,,,,,,,,,,,,,,,,,,
2007-12-23,,,,,,,,,,,,,,,,,,
2007-12-24,,,,,,,,,,,,,,,1060.0,,,
2007-12-25,,,,,,,,,,,,,,,1060.0,,,
2007-12-26,,,,,,,,,,,,,,,1060.0,,,
2007-12-27,,,,,,,,,,,,,,,1060.0,,,
2007-12-28,,,,,,,,,,,,,,,1060.0,,,
2007-12-29,,,,,,,,,,,,,,,1060.0,,,
2007-12-30,,,,,,,,,,,,,,,,,,
2007-12-31,,,,,,,,,,,,,,,,,,
2008-01-01,,,,,,,,,,,,,,,,,,
2008-01-02,,,,,,,,,,,,,,,1060.0,,,
2008-01-03,,,,,,,,,,,,,,,1060.0,,,
2008-01-04,,,,,,,,,,,,,,,1060.0,,,
2008-01-05,,,,,,,,,,,,,,,,,,
2008-01-06,,,,,,,,,,,,,,,,,,
2008-01-07,,,,,,,,,,,,,,,1060.0,,,
2008-01-08,,,,,,,,,,,,,,,1100.0,,,
2008-01-09,,,,,,,,,,,,,,,1100.0,,,
2008-01-10,,,,,,,,,,,,,,,1100.0,,,
2008-01-11,,,,,,,,,,,,,,,1100.0,,,
2008-01-12,,,,,,,,,,,,,,,,,,
2008-01-13,,,,,,,,,,,,,,,,,,
2008-01-14,,,,,,,,,,,,,,,1100.0,,,
2008-01-15,,,,,,,,,,,,,,,1080.0,,,
2008-01-16,,,,,,,,,,,,,,,1080.0,,,
2008-01-17,,,,,,,,,,,,,,,1080.0,,,
2008-01-18,,,,,,,,,,,,,,,1080.0,,,
2008-01-19,,,,,,,,,,,,,,,,,,
2008-01-20,,,,,,,,,,,,,,,,,,
2008-01-21,,,,,,,,,,,,,,,1080.0,,,
2008-01-22,,,,,,,,,,,,,,,1070.0,,,
2008-01-23,,,,,,,,,,,,,,,1070.0,,,
2008-01-24,,,,,,,,,,,,,,,1070.0,,,
2008-01-25,,,,,,,,,,,,,,,1060.0,,,
2008-01-26,,,,,,,,,,,,,,,,,,
2008-01-27,,,,,,,,,,,,,,,,,,
2008-01-28,,,,,,,,,,,,,,,1060.0,,,
2008-01-29,,,,,,,,,,,,,,,1060.0,,,
2008-01-30,,,,,,,,,,,,,,,1060.0,,,
2008-01-31,,,,,,,,,,,,,,,1060.0,,,
2008-02-01,,,,,,,,,,,,,,,1060.0,,,
2008-02-02,,,,,,,,,,,,,,,1060.0,,,
2008-02-03,,,,,,,,,,,,,,,1060.0,,,
2008-02-04,,,,,,,,,,,,,,,1060.0,,,
2008-02-05,,,,,,,,,,,,,,,1060.0,,,
2008-02-06,,,,,,,,,,,,,,,,,,
2008-02-07,,,,,,,,,,,,,,,,,,
2008-02-08,,,,,,,,,,,,,,,,,,
2008-02-09,,,,,,,,,,,,,,,,,,
2008-02-10,,,,,,,,,,,,,,,,,,
2008-02-11,,,,,,,,,,,,,,,,,,
2008-02-12,,,,,,,,,,,,,,,,,,
2008-02-13,,,,,,,,,,,,,,,1060.0,,,
2008-02-14,,,,,,,,,,,,,,,1060.0,,,
2008-02-15,,,,,,,,,,,,,,,1060.0,,,
2008-02-16,,,,,,,,,,,,,,,,,,
2008-02-17,,,,,,,,,,,,,,,,,,
2008-02-18,,,,,,,,,,,,,,,1080.0,,,
2008-02-19,,,,,,,,,,,,,,,1060.0,,,
2008-02-20,,,,,,,,,,,,,,,1080.0,,,
2008-02-21,,,,,,,,,,,,,,,1090.0,,,
2008-02-22,,,,,,,,,,,,,,,1080.0,,,
2008-02-23,,,,,,,,,,,,,,,,,,
2008-02-24,,,,,,,,,,,,,,,,,,
2008-02-25,,,,,,,,,,,,,,,1090.0,,,
2008-02-26,,,,,,,,,,,,,,,1090.0,,,
2008-02-27,,,,,,,,,,,,,,,1125.0,,,
2008-02-28,,,,,,,,,,,,,,,1125.0,,,
2008-02-29,,,,,,,,,,,,,,,1125.0,,,
2008-03-01,,,,,,,,,,,,,,,,,,
2008-03-02,,,,,,,,,,,,,,,,,,
2008-03-03,,,,,,,,,,,,,,,1125.0,,,
2008-03-04,,,,,,,,,,,,,,,1165.0,,,
2008-03-05,,,,,,,,,,,,,,,1165.0,,,
2008-03-06,,,,,,,,,,,,,,,1165.0,,,
2008-03-07,,,,,,,,,,,,,,,1165.0,,,
2008-03-08,,,,,,,,,,,,,,,,,,
2008-03-09,,,,,,,,,,,,,,,,,,
2008-03-10,,,,,,,,,,,,,,,1165.0,,,
2008-03-11,,,,,,,,,,,,,,,1165.0,,,
2008-03-12,,,,,,,,,,,,,,,1165.0,,,
2008-03-13,,,,,,,,,,,,,,,1165.0,,,
2008-03-14,,,,,,,,,,,,,,,1165.0,,,
2008-03-15,,,,,,,,,,,,,,,,,,
2008-03-16,,,,,,,,,,,,,,,,,,
2008-03-17,,,,,,,,,,,,,,,1165.0,,,
2008-03-18,,,,,,,,,,,,,,,1165.0,,,
2008-03-19,,,,,,,,,,,,,,,1165.0,,,
2008-03-20,,,,,,,,,,,,,,,1165.0,,,
2008-03-21,,,,,,,,,,,,,,,1140.0,,,
2008-03-22,,,,,,,,,,,,,,,,,,
2008-03-23,,,,,,,,,,,,,,,,,,
2008-03-24,,,,,,,,,,,,,,,1140.0,,,
2008-03-25,,,,,,,,,,,,,,,1140.0,,,
2008-03-26,,,,,,,,,,,,,,,1140.0,,,
2008-03-27,,,,,,,,,,,,,,,1140.0,,,
2008-03-28,,,,,,,,,,,,,,,1140.0,,,
2008-03-29,,,,,,,,,,,,,,,,,,
2008-03-30,,,,,,,,,,,,,,,,,,
2008-03-31,,,,,,,,,,,,,,,1140.0,,,
2008-04-01,,,,,,,,,,,,,,,1140.0,,,
2008-04-02,,,,,,,,,,,,,,,1140.0,,,
2008-04-03,,,,,,,,,,,,,,,1120.0,,,
2008-04-04,,,,,,,,,,,,,,,,,,
2008-04-05,,,,,,,,,,,,,,,,,,
2008-04-06,,,,,,,,,,,,,,,,,,
2008-04-07,,,,,,,,,,,,,,,1120.0,,,
2008-04-08,,,,,,,,,,,,,,,1140.0,,,
2008-04-09,,,,,,,,,,,,,,,1140.0,,,
2008-04-10,,,,,,,,,,,,,,,1140.0,,,
2008-04-11,,,,,,,,,,,,,,,1140.0,,,
2008-04-12,,,,,,,,,,,,,,,,,,
2008-04-13,,,,,,,,,,,,,,,,,,
2008-04-14,,,,,,,,,,,,,,,1125.0,,,
2008-04-15,,,,,,,,,,,,,,,1125.0,,,
2008-04-16,,,,,,,,,,,,,,,1125.0,,,
2008-04-17,,,,,,,,,,,,,,,1080.0,,,
2008-04-18,,,,,,,,,,,,,,,1080.0,,,
2008-04-19,,,,,,,,,,,,,,,,,,
2008-04-20,,,,,,,,,,,,,,,,,,
2008-04-21,,,,,,,,,,,,,,,1080.0,,,
2008-04-22,,,,,,,,,,,,,,,1080.0,,,
2008-04-23,,,,,,,,,,,,,,,1080.0,,,
2008-04-24,,,,,,,,,,,,,,,1080.0,,,
2008-04-25,,,,,,,,,,,,,,,1080.0,,,
2008-04-26,,,,,,,,,,,,,,,,,,
2008-04-27,,,,,,,,,,,,,,,,,,
2008-04-28,,,,,,,,,,,,,,,1080.0,,,
2008-04-29,,,,,,,,,,,,,,,1080.0,,,
2008-04-30,,,,,,,,,,,,,,,1080.0,,,
2008-05-01,,,,,,,,,,,,,,,,,,
2008-05-02,,,,,,,,,,,,,,,,,,
