品种,3月前,2月前,1月前,上一个指数日,当月,下月,下2月,下3月
IOC6粉,-7.82,1.18,13.54,-5.05,11.33,11.26,10.63,11.33
PB块,32.19,34.64,34.17,10.92,33.78,34.28,33.61,34.35
PB粉,-38.59,-22.97,-5.92,-35.66,-13.63,-13.76,-14.38,-13.69
乌精65,55.07,65.03,74.18,54.86,72.21,72.26,71.64,72.33
卡粉,10.87,25.83,43.97,24.59,42.03,42.09,41.46,42.16
印粉57,-33.28,8.87,-3.78,-28.46,-16.26,-16.28,-16.75,-16.23
巴混BRBF,-30.74,-17.12,8.19,-16.44,5.37,5.35,4.71,5.42
混合粉,-5.86,24.09,31.83,-16.72,-5.3,-6.21,-6.77,-6.15
纽曼块,24.58,27.03,26.04,7.48,27.83,27.89,27.22,27.96
纽曼粉,-24.85,0.62,8.14,-22.39,-10.53,-10.57,-11.2,-10.5
罗伊山块,33.38,35.6,34.19,10.76,32.82,32.87,32.24,32.94
罗伊山粉,-48.21,-32.66,-15.75,-45.47,-23.5,-23.66,-24.28,-23.59
超特粉,-16.34,2.93,20.46,-6.48,4.27,2.03,1.58,2.08
金布巴粉,-6.85,19.57,25.75,-6.57,-7.85,-7.97,-8.59,-7.9
麦克粉,-22.01,4.67,9.16,-22.17,-10.37,-10.52,-11.14,-10.45
