时间点,计算目标日期,实际取数日期,品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本
M-3,2026-03-01,N/A,PB粉,,,60.8,8.8,0.0,6.8783,
M-3,2026-03-01,N/A,纽曼粉,,,61.2,8.3,0.0,6.8783,
M-3,2026-03-01,N/A,麦克粉,,,60.5,8.5,0.05,6.8783,
M-3,2026-03-01,N/A,金布巴粉,,,60.3,7.6,0.0775,6.8783,
M-3,2026-03-01,N/A,杨迪粉,,,56.8,10.5,0.0,6.8783,
M-3,2026-03-01,N/A,罗伊山粉,,,60.7,9.0,0.05,6.8783,
M-3,2026-03-01,N/A,MB粉,,,58.0,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,巴混BRBF,,,63.0,7.5,0.0,6.8783,
M-3,2026-03-01,N/A,高硅巴粗,,,59.5,9.5,0.0,6.8783,
M-3,2026-03-01,N/A,SP10粉,,,56.5,7.5,0.0,6.8783,
M-3,2026-03-01,N/A,混合粉,,,58.2,8.0,0.03,6.8783,
M-3,2026-03-01,N/A,超特粉,,,56.5,9.5,0.065,6.8783,
M-3,2026-03-01,N/A,PMI粉,,,56.5,10.0,0.0,6.8783,
M-3,2026-03-01,N/A,毛塔粉,,,56.5,7.5,0.0,6.8783,
M-3,2026-03-01,N/A,IOC6粉,,,61.5,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,Musa粉,,,62.0,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,SIOF托克粉,,,60.98,9.5,0.0,6.8783,
M-3,2026-03-01,N/A,永钢粉,,,65.0,1.0,0.0,6.8783,
M-3,2026-03-01,N/A,西皮粉,,,60.3,6.0,0.0225,6.8783,
M-3,2026-03-01,N/A,国王粉,,,57.5,9.0,0.0175,6.8783,
M-3,2026-03-01,N/A,卡拉拉精粉低品,,,62.0,8.0,0.0,6.8783,
M-3,2026-03-01,N/A,印粉57,,,57.0,8.0,0.0,6.8783,
M-3,2026-03-01,N/A,印粉54,,,54.5,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,丝路粉,,,58.2,8.0,0.0,6.8783,
M-3,2026-03-01,N/A,安米利比里亚粉,,,60.5,10.5,0.0,6.8783,
M-3,2026-03-01,N/A,卡粉,,,65.0,8.5,0.0,6.8783,
M-3,2026-03-01,N/A,乌精68,,,68.0,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,乌精65,,,65.0,9.0,0.0,6.8783,
M-3,2026-03-01,N/A,飞砳乌精67,,,67.0,9.8,0.0,6.8783,
M-3,2026-03-01,N/A,一钢精粉,,,65.5,8.5,0.0,6.8783,
M-3,2026-03-01,N/A,VALE PFPA,,,66.59,9.5,0.0,6.8783,
M-3,2026-03-01,N/A,VALE PFG2,,,64.97,10.1,0.0,6.8783,
M-3,2026-03-01,N/A,VALE PFIT,,,63.0,8.5,0.0,6.8783,
M-3,2026-03-01,N/A,智利Huasco,,,68.8,2.25,0.0,6.8783,
M-3,2026-03-01,N/A,毛塔精粉,,,66.0,1.5,0.0,6.8783,
M-3,2026-03-01,N/A,Minas精粉,,,67.4,9.21,0.0,6.8783,
M-3,2026-03-01,N/A,魏桥西芒杜,,,65.02,8.0,0.0,6.8783,
M-3,2026-03-01,N/A,委粉,,,65.11,7.65,0.0,6.8783,
M-3,2026-03-01,N/A,PB块,,,61.6,4.0,0.0,6.8783,
M-3,2026-03-01,N/A,纽曼块,,,62.0,4.1,0.0,6.8783,
M-3,2026-03-01,N/A,SP10块,,,58.7,4.2,0.0,6.8783,
M-3,2026-03-01,N/A,纽曼未筛分块,,,61.7,4.3,0.0,6.8783,
M-3,2026-03-01,N/A,罗伊山块,,,60.5,4.8,0.028,6.8783,
M-3,2026-03-01,N/A,MB块,,,58.0,4.8,1.4,6.8783,
M-3,2026-03-01,N/A,FMG块,,,57.2,6.5,0.0275,6.8783,
M-2,2026-04-01,N/A,PB粉,,,60.8,8.8,0.0,6.9008,
M-2,2026-04-01,N/A,纽曼粉,,,61.2,8.3,0.0,6.9008,
M-2,2026-04-01,N/A,麦克粉,,,60.5,8.5,0.05,6.9008,
M-2,2026-04-01,N/A,金布巴粉,,,60.3,7.6,0.0775,6.9008,
M-2,2026-04-01,N/A,杨迪粉,,,56.8,10.5,0.0,6.9008,
M-2,2026-04-01,N/A,罗伊山粉,,,60.7,9.0,0.05,6.9008,
M-2,2026-04-01,N/A,MB粉,,,58.0,9.0,0.0,6.9008,
M-2,2026-04-01,N/A,巴混BRBF,,,63.0,7.5,0.0,6.9008,
M-2,2026-04-01,N/A,高硅巴粗,,,59.5,9.5,0.0,6.9008,
