品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,105.9695,11.5529,60.8,8.8,0.0,6.9112,783.36,739.5,736.0,743.0,-43.86,-47.36,-40.36,正常
纽曼粉,105.8705,11.5529,61.2,8.3,-4.91,6.9112,755.51,743.5,741.0,746.0,-12.01,-14.51,-9.51,正常
麦克粉,105.8705,11.5529,60.5,8.5,-4.01,6.9112,752.9,743.5,741.0,746.0,-9.4,-11.9,-6.9,正常
金布巴粉,105.6102,11.5529,60.3,7.6,-6.42,6.9112,737.67,705.5,697.0,714.0,-32.17,-40.67,-23.67,正常
罗伊山粉,105.9695,11.5529,60.7,9.0,0.0,6.9112,780.82,727.5,727.0,728.0,-53.32,-53.82,-52.82,正常
巴混BRBF,110.9391,11.5529,63.0,7.5,0.0,6.9112,844.34,805.0,826.0,784.0,-39.34,-18.34,-60.34,正常
SP10粉,105.9695,11.5529,56.5,7.5,0.1,6.9112,682.74,630.0,627.0,633.0,-52.74,-55.74,-49.74,正常
混合粉,105.8705,11.5529,58.2,8.0,0.03,6.9112,740.7,666.0,664.0,668.0,-74.7,-76.7,-72.7,正常
超特粉,105.8705,11.5529,56.5,9.5,0.065,6.9112,691.38,594.0,587.0,601.0,-97.38,-104.38,-90.38,正常
IOC6粉,106.3795,11.5529,61.5,9.0,-5.768182,6.9112,751.22,728.5,726.0,731.0,-22.72,-25.22,-20.22,正常
印粉57,106.3795,11.5529,57.0,8.0,0.0,6.9112,556.65,531.0,527.0,535.0,-25.65,-29.65,-21.65,正常
印粉54,106.3795,11.5529,54.5,9.0,0.0,6.9112,715.95,,,,,,,缺少销售价格
卡粉,125.155,11.5529,65.0,8.5,0.0,6.9112,924.34,889.0,879.0,899.0,-35.34,-45.34,-25.34,正常
乌精68,125.155,11.5529,68.0,9.0,0.0,6.9112,960.5,,,,,,,缺少销售价格
乌精65,125.155,11.5529,65.0,9.0,-3.136364,6.9112,897.16,834.5,822.0,847.0,-62.66,-75.16,-50.16,正常
PB块,105.9695,11.5529,61.6,4.0,0.0,6.9112,907.73,916.5,919.0,914.0,8.77,11.27,6.27,正常
纽曼块,106.1745,11.5529,62.0,4.1,0.0,6.9112,922.22,911.5,909.0,914.0,-10.72,-13.22,-8.22,正常
SP10块,105.9695,11.5529,58.7,4.2,0.077,6.9112,814.2,,,,,,,缺少销售价格
罗伊山块,105.9695,11.5529,60.5,4.8,0.028,6.9112,868.74,878.5,899.0,858.0,9.76,30.26,-10.74,正常
