品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,97.02,10.715,60.8,8.8,0.0,6.8212,710.77,700.5,693.0,708.0,-10.27,-17.77,-2.77,正常
纽曼粉,96.91,10.715,61.2,8.3,-1.74,6.8212,704.93,702.5,691.0,714.0,-2.43,-13.93,9.07,正常
麦克粉,96.91,10.715,60.5,8.5,-1.51,6.8212,698.36,699.5,691.0,708.0,1.14,-7.36,9.64,正常
金布巴粉,96.0636,10.715,60.3,7.6,-6.09,6.8212,663.55,682.0,662.0,702.0,18.45,-1.55,38.45,正常
罗伊山粉,97.02,10.715,60.7,9.0,0.0,6.8212,708.47,688.5,684.0,693.0,-19.97,-24.47,-15.47,正常
巴混BRBF,103.3,10.715,63.0,7.5,0.0,6.8212,778.39,759.5,770.0,749.0,-18.89,-8.39,-29.39,正常
SP10粉,97.02,10.715,56.5,7.5,0.136,6.8212,599.71,604.5,596.0,613.0,4.79,-3.71,13.29,正常
混合粉,96.91,10.715,58.2,8.0,0.0925,6.8212,636.11,644.0,640.0,648.0,7.89,3.89,11.89,正常
超特粉,96.91,10.715,56.5,9.5,0.1825,6.8212,562.95,579.0,573.0,585.0,16.05,10.05,22.05,正常
IOC6粉,97.55,10.715,61.5,9.0,-7.578947,6.8212,666.69,689.0,685.0,693.0,22.31,18.31,26.31,正常
印粉57,97.55,10.715,57.0,8.0,0.0,6.8212,520.72,523.0,513.0,533.0,2.28,-7.72,12.28,正常
印粉54,97.55,10.715,54.5,9.0,0.0,6.8212,650.93,,,,,,,缺少销售价格
卡粉,113.44,10.715,65.0,8.5,0.0,6.8212,830.07,859.0,850.0,868.0,28.93,19.93,37.93,正常
乌精68,113.44,10.715,68.0,9.0,0.0,6.8212,862.42,,,,,,,缺少销售价格
乌精65,113.44,10.715,65.0,9.0,-3.384211,6.8212,801.96,806.0,796.0,816.0,4.04,-5.96,14.04,正常
PB块,97.02,10.715,61.6,4.0,0.0,6.8212,832.51,877.5,870.0,885.0,44.99,37.49,52.49,正常
纽曼块,97.285,10.715,62.0,4.1,0.0,6.8212,846.55,871.5,865.0,878.0,24.95,18.45,31.45,正常
SP10块,97.02,10.715,58.7,4.2,0.057,6.8212,760.96,,,,,,,缺少销售价格
罗伊山块,97.02,10.715,60.5,4.8,0.028,6.8212,797.08,839.5,850.0,829.0,42.42,52.92,31.92,正常
