品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,98.41,15.545,60.8,8.8,0.0,6.7491,713.65,701.5,695.0,708.0,-12.15,-18.65,-5.65,正常
纽曼粉,98.41,15.545,61.2,8.3,-1.13,6.7491,712.58,707.0,706.0,708.0,-5.58,-6.58,-4.58,正常
麦克粉,98.41,15.545,60.5,8.5,-0.75,6.7491,707.48,702.0,698.0,706.0,-5.48,-9.48,-1.48,正常
金布巴粉,98.41,15.545,60.3,7.6,-5.35,6.7491,678.67,681.0,674.0,688.0,2.33,-4.67,9.33,正常
罗伊山粉,98.41,15.545,60.7,9.0,0.0,6.7491,711.48,689.5,686.0,693.0,-21.98,-25.48,-18.48,正常
巴混BRBF,101.334,15.545,63.0,7.5,0.0,6.7491,756.39,762.5,764.0,761.0,6.11,7.61,4.61,正常
SP10粉,98.41,15.545,56.5,7.5,0.152,6.7491,600.21,,,,,,,缺少销售价格
混合粉,98.41,15.545,58.2,8.0,0.1075,6.7491,635.57,651.5,648.0,655.0,15.93,12.43,19.43,正常
超特粉,98.41,15.545,56.5,9.5,0.21,6.7491,560.22,568.5,563.0,574.0,8.28,2.78,13.78,正常
IOC6粉,98.41,15.545,61.5,9.0,-5.6,6.7491,679.71,691.5,685.0,698.0,11.79,5.29,18.29,正常
印粉57,98.41,15.545,57.0,8.0,0.0,6.7491,543.91,528.0,534.0,522.0,-15.91,-9.91,-21.91,正常
印粉54,98.41,15.545,54.5,9.0,0.0,6.7491,653.98,,,,,,,缺少销售价格
卡粉,112.674,15.545,65.0,8.5,0.0,6.7491,816.27,851.5,845.0,858.0,35.23,28.73,41.73,正常
乌精68,98.41,15.545,68.0,9.0,0.0,6.7491,744.5,,,,,,,缺少销售价格
乌精65,112.674,15.545,65.0,9.0,-1.5,6.7491,801.56,864.5,866.0,863.0,62.94,64.44,61.44,正常
PB块,98.41,15.545,61.6,4.0,0.0,6.7491,866.27,903.5,898.0,909.0,37.23,31.73,42.73,正常
纽曼块,98.41,15.545,62.0,4.1,0.0,6.7491,880.45,912.5,898.0,927.0,32.05,17.55,46.55,正常
SP10块,98.41,15.545,58.7,4.2,0.051,6.7491,799.03,,,,,,,缺少销售价格
罗伊山块,98.41,15.545,60.5,4.8,0.028,6.7491,830.93,866.0,878.0,854.0,35.07,47.07,23.07,正常
