品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,97.86,13.122,60.8,8.8,0.0,6.8163,716.38,704.5,699.0,710.0,-11.88,-17.38,-6.38,正常
纽曼粉,97.86,13.122,61.2,8.3,-1.33,6.8163,714.07,709.0,704.0,714.0,-5.07,-10.07,-0.07,正常
麦克粉,97.86,13.122,60.5,8.5,-1.33,6.8163,706.04,704.0,698.0,710.0,-2.04,-8.04,3.96,正常
金布巴粉,97.86,13.122,60.3,7.6,-5.98,6.8163,676.65,677.5,665.0,690.0,0.85,-11.65,13.35,正常
罗伊山粉,97.86,13.122,60.7,9.0,0.0,6.8163,714.14,692.5,690.0,695.0,-21.64,-24.14,-19.14,正常
巴混BRBF,104.262,13.122,63.0,7.5,0.0,6.8163,784.82,772.5,774.0,771.0,-12.32,-10.82,-13.82,正常
SP10粉,97.86,13.122,56.5,7.5,0.177,6.8163,585.09,600.0,602.0,598.0,14.91,16.91,12.91,正常
混合粉,97.86,13.122,58.2,8.0,0.1025,6.8163,638.33,628.0,623.0,633.0,-10.33,-15.33,-5.33,正常
超特粉,97.86,13.122,56.5,9.5,0.18,6.8163,573.66,573.0,571.0,575.0,-0.66,-2.66,1.34,正常
IOC6粉,97.86,13.122,61.5,9.0,-7.0,6.8163,672.48,693.0,692.0,694.0,20.52,19.52,21.52,正常
印粉57,97.86,13.122,57.0,8.0,0.0,6.8163,531.95,526.5,530.0,523.0,-5.45,-1.95,-8.95,正常
印粉54,97.86,13.122,54.5,9.0,0.0,6.8163,654.58,,,,,,,缺少销售价格
卡粉,114.178,13.122,65.0,8.5,0.0,6.8163,834.69,853.5,852.0,855.0,18.81,17.31,20.31,正常
乌精68,97.86,13.122,68.0,9.0,0.0,6.8163,747.58,,,,,,,缺少销售价格
乌精65,114.178,13.122,65.0,9.0,-3.2,6.8163,807.87,825.5,819.0,832.0,17.63,11.13,24.13,正常
PB块,97.86,13.122,61.6,4.0,0.0,6.8163,843.57,892.0,895.0,889.0,48.43,51.43,45.43,正常
纽曼块,97.86,13.122,62.0,4.1,0.0,6.8163,856.7,883.0,883.0,883.0,26.3,26.3,26.3,正常
SP10块,97.86,13.122,58.7,4.2,0.0555,6.8163,773.81,,,,,,,缺少销售价格
罗伊山块,97.86,13.122,60.5,4.8,0.028,6.8163,808.53,854.0,875.0,833.0,45.47,66.47,24.47,正常
