品种,Index价格,运费(BCI-C5),典型值铁,典型值水,折扣,汇率,进口成本,销售价_平均,销售价_RZ,销售价_TJ,进口利润,进口利润_RZ,进口利润_TJ,数据状态
PB粉,95.64,15.636,60.8,8.8,0.0,6.7677,696.28,682.5,680.0,685.0,-13.78,-16.28,-11.28,正常
纽曼粉,95.64,15.636,61.2,8.3,-1.13,6.7677,694.97,687.0,690.0,684.0,-7.97,-4.97,-10.97,正常
麦克粉,95.64,15.636,60.5,8.5,-0.75,6.7677,690.13,689.0,686.0,692.0,-1.13,-4.13,1.87,正常
金布巴粉,95.64,15.636,60.3,7.6,-5.35,6.7677,661.12,663.0,657.0,669.0,1.88,-4.12,7.88,正常
罗伊山粉,95.64,15.636,60.7,9.0,0.0,6.7677,694.19,670.5,671.0,670.0,-23.69,-23.19,-24.19,正常
巴混BRBF,101.967,15.636,63.0,7.5,0.0,6.7677,762.94,756.5,753.0,760.0,-6.44,-9.94,-2.94,正常
SP10粉,95.64,15.636,56.5,7.5,0.152,6.7677,586.54,,,,,,,缺少销售价格
混合粉,95.64,15.636,58.2,8.0,0.1075,6.7677,620.74,635.5,633.0,638.0,14.76,12.26,17.26,正常
超特粉,95.64,15.636,56.5,9.5,0.21,6.7677,547.85,549.5,548.0,551.0,1.65,0.15,3.15,正常
IOC6粉,95.64,15.636,61.5,9.0,-6.0,6.7677,659.28,672.5,670.0,675.0,13.22,10.72,15.72,正常
印粉57,95.64,15.636,57.0,8.0,0.0,6.7677,537.39,509.0,519.0,499.0,-28.39,-18.39,-38.39,正常
印粉54,95.64,15.636,54.5,9.0,0.0,6.7677,638.56,,,,,,,缺少销售价格
卡粉,112.671,15.636,65.0,8.5,0.0,6.7677,818.41,836.0,834.0,838.0,17.59,15.59,19.59,正常
乌精68,95.64,15.636,68.0,9.0,0.0,6.7677,726.3,,,,,,,缺少销售价格
乌精65,112.671,15.636,65.0,9.0,-1.5,6.7677,803.66,849.0,855.0,843.0,45.34,51.34,39.34,正常
PB块,95.64,15.636,61.6,4.0,0.0,6.7677,837.81,884.0,878.0,890.0,46.19,40.19,52.19,正常
纽曼块,95.64,15.636,62.0,4.1,0.0,6.7677,851.9,889.0,878.0,900.0,37.1,26.1,48.1,正常
SP10块,95.64,15.636,58.7,4.2,0.051,6.7677,773.46,,,,,,,缺少销售价格
罗伊山块,95.64,15.636,60.5,4.8,0.028,6.7677,804.05,846.5,858.0,835.0,42.45,53.95,30.95,正常
