品种,3月前,2月前,1月前,上一个指数日,当月,下月,下2月,下3月
IOC6粉,761.88,757.92,683.4,669.0,669.0,669.42,669.14,668.01
PB块,901.51,912.1,850.77,847.97,847.97,840.94,840.64,839.45
PB粉,783.88,790.55,728.57,719.69,719.69,713.07,712.79,711.67
SP10块,821.22,833.91,778.45,775.77,775.77,769.46,769.19,768.12
SP10粉,693.14,691.4,616.24,583.28,583.28,578.16,577.94,577.07
乌精65,885.29,885.76,818.76,809.33,809.33,803.19,802.91,801.79
乌精68,950.58,949.76,880.51,870.93,870.93,744.35,744.06,742.89
卡粉,914.8,914.01,847.45,838.24,838.24,832.07,831.79,830.67
印粉54,716.63,724.98,666.33,649.16,649.16,649.56,649.31,648.31
印粉57,607.69,609.75,564.67,523.54,523.54,523.86,523.66,522.85
巴混BRBF,841.41,852.24,795.08,787.31,787.31,780.35,780.06,778.9
混合粉,721.08,717.81,654.13,633.22,633.22,632.87,632.62,631.65
纽曼块,916.0,927.88,864.5,856.26,856.26,852.98,852.68,851.48
纽曼粉,759.84,782.83,724.11,711.39,711.39,710.96,710.68,709.54
罗伊山块,863.29,874.37,814.94,811.66,811.66,805.0,804.72,803.59
罗伊山粉,781.37,788.09,726.25,717.36,717.36,710.76,710.48,709.37
超特粉,669.98,664.19,579.98,566.71,566.71,566.4,566.19,565.35
金布巴粉,734.05,740.75,686.31,663.2,663.2,673.46,673.18,672.05
麦克粉,760.62,753.49,717.42,703.13,703.13,702.71,702.43,701.31
